么	幺 呢
的	了 得 地
地	的
得	的 地 了
做	作 坐
习	徙 系
练	迁 联
作	做
是	事 使
什	镇
天	添 点
明	平 名
哪	那
卖	买
前	先
了	的 乐 得
忠	中
在	再 代
像	象 想
少	小
你	您
克	科
当	但
薯	著
沟	购
意	一
写	谢 学
唉	哎
完	晚
上	下
账	帐
眯	咪
舞	武
肖	萧
淘	陶
著	着
喳	嘎
壳	克
轰	烘
慢	满
啦	啊
时	是
幺	样
联	迁
系	徙
凉	亮
元	圆
融	溶
正	真
分	份
气	器
有	又
小	少
命	名
遍	篇
常	尝
呐	呢
鄙	弊
代	待
忘	王 完
学	睡 雪
姐	姊
午	晚
想	向
为	未 伟
市	是
煤	没
道	到
词	司
近	静
象	向
士	市
大	但
雪	学
弊	该
咬	收
入	六
拿	那
拍	怕
机	器
来	徕
览	蓝
总	中 重
盛	乘
渴	喝
袋	带
笑	小 效
吊	掉
胆	但
借	街
放	房
假	价
嫉	忌
食	吃
吃	把
涯	崖
再	在
实	施 是
络	路
出	生
哎	唉
使	是
个	隔
嘘	虚
慕	幕
统	同
其	奇
德	得
长	常
修	绣
起	气 睡
早	躁
逊	孙
戈	哥
黯	暗
五	伍
摩	魔
托	头
车	人
侧	则
点	天
篇	编 遍
才	为
各	个
又	有
战	戦
呢	吗
罚	发
咧	里
花	画
园	院
依	以
披	比
岛	道
咖	珈
啡	琲
固	故
闭	门
很	和
鲜	显
俩	两
谐	阶
杰	接
伦	论
历	力
腌	淹
确	却
面	而
证	挣
客	克 格
驻	住
良	凉
期	习
洞	动
辅	副
这	整
诗	是
避	闭
今	近
息	喜
醋	错
乡	想
生	性
珠	著
致	到
妇	赋
弹	谈
吉	其
背	备
异	衣
栓	拴
好	高
形	型
爱	受
餐	菜
受	爱
以	一
讲	想
事	是
偶	欧
跟	给
载	戴
便	弁
钓	条
那	哪
教	叫
补	不
活	话
恩	思
